Exposant	Pitch	Secteur	Pays	AI	Pays
CREAGUM	CreaGum offers an innovative approach to recycling and transforming an original material, chewing gum, and a pioneering protocol for analysing the metal, pesticide and microplastic content potentially released by recycled plastics. This approach guarantees the safety and environmental sustainability of my products. As the founder of this company and a specialist in marine biology research, I am committed, through CreaGum, to actively raising public awareness of the environmental challenges facing the oceans, in particular by organising conferences and workshops in companies. With the ambition of setting up new recycling channels for other marine waste, CreaGum is committed to transforming sources of pollution into opportunities for environmental preservation and economic development.	Industry	France	291	France
Crédit Agricole	"The Crédit Agricole Group is the leading partner of the French economy and one of the largest banking groups in Europe. Drawing on 130 years of legacy, we demonstrate our strength by putting it to the service of usefulness and universality. Crédit Agricole also stands out for its dynamic, innovative corporate social responsibility policy, for the benefit of the economy. This policy is based on a pragmatic approach which permeates across the Group and engages each employee. 

Le Village by CA  
Founded by Credit Agricole in 2014, Le Village by CA is a network of 44 accelerators in France, Luxembourg and Italy. The spirit of le Village by CA is to create employment and high value economic activities in all regions. The 750 startups that are hosted and accelerated by le Village by CA are accessible for our 800 local partners and belong to many sectors (health, energy, agritech, …)."	Banking/Finance/Insurance/Legal	France	0	France
CREFLE Inc.	"CREFLE Inc. is a group of CREative and FLExible members who are striving to help people be more productive and better than machines through technology in manufacturing areas. Our crews are a group of AI and software experts with more than 10 years of experience in manufacturing companies, and have a deep understanding of the manufacturing environment and advanced ICT technologies. 
We can fully understand the needs and pain points in the manufacturing environment and have the ability to quickly solve the problems.
CREFLE Inc. will develop smart factory with you together.
Main Solution.
- EQ-O solution : JANUS AI-based equipment inspection : automatically recognizes and analyses specific data displayed on various gauges and 
   screens such as temperature, pressure, and setting screens, which are most often checked during equipment inspection, and determines the real- 
   time status by AI
- EQ-1 solution : JANUS AI-based vision inspection for detecting defects in manufacturing products. It is basically a product inspection based on 
   advanced anomaly detection : part shape, crack, stamp, stamp, alignment, etc."	Software Development/Cloud services	South Korea	201	Hors France
CrossCall	CROSSCALL, a durable mobile telephony creator, offers tough, waterproof mobiles and smartphones with long battery lives. Cyril Vidal founded the company in 2009 to fill a gap in the market for specific uses and requirements, having seen this lack first-hand, and for which there was no specific equipment. The brand thus designs models that are perfectly suited to the hostile and unpredictable environments encountered by athletes and field professionals (water, rain, wind, humidity, dust, impacts, etc.), as well as a range of high-performance accessories. With over 4.5 million units sold, turnover of €115 million and already more than 20,000 points of sale, the French company, based in Aix-en-Provence, is continuing its development by moving upmarket with its mobiles, which are being increasingly recognised both in France and overseas for their quality and originality.	Consumer goods/Retail/E-commerce	France	466	France
Crowdaa	"Crowdaa democratizes the creation of mobile applications by providing an accessible and fast platform that eliminates the complexity of coding.
Companies, nonprofit organizations and individuals that wants to address their community can launch their native mobile app on Android and iOS without writing a single line of code, and in no time! Thanks to our no code cloud-based tech, our users can bridge the gap with their audience in a branded and community-oriented environment.
We have the support of industry-leading partners like AWS Start-up and Nvidia AI, who believed in our vision and contributed to our growth and success.

Our client portfolio: BaseBall TV France (Baseball FF), CPME (union of employers from 2 regions: Réunion Island and a department of France located in the Grand Paris metropolis), CROEC (Association of Chartered Accountants of France from 3 French regions), etc"	Software Development/Cloud services	Reunion	559	Hors France
Crowdworks AI	"TRUSTWORTHY AI BUILT ON YOUR DATA-
Founded in April 2017, Crowdworks AI is South Korea's leading AI technology provider, trusted by over 500 top AI enterprises, including Samsung, Hyundai, and Naver. The company is deeply involved in the early-stage development of large language models (LLMs), contributing to projects like Naver's HyperCLOVA X and LG's ExaOne. This involvement played a key role in its notable listing on the KOSDAQ market in August 2023. Operating in the data and LLM sectors, Crowdworks AI has earned recognition as a premier provider of generative AI technology, acclaimed by industry authorities such as Gartner and CB Insights."	Information technologies	South Korea	13	Hors France
CryoCollect SAS	"CryoCollect is an innovative company specialized in the field of gas treatment. Founded in 2017 by a group of researchers passionate about cutting-edge technologies, CryoCollect quickly established itself as a major player in its sector thanks to its unique expertise and innovative solutions.
CryoCollect is a visionary company that stands out for its revolutionary system for capturing bioCO2 from off gas resulting from methanization, as well as its innovative process for liquefying biomethane. Founded on principles of advanced engineering and environmental sustainability, CryoCollect represents a major advancement in the field of clean energy production and reduction of greenhouse gas emissions.
In summary, CryoCollect is at the forefront of innovation in the field of organic waste valorization and renewable energy production. CryoCollect significantly contributes to the transition to a low-carbon economy and the fight against climate change."	Energy	France	568	France
CryptoNext Security	CryptoNext Security, based in Paris, founded in 2019 after more than 20 years of academic research. CryptoNext Security is a software vendor specializing in quantum computer-resistant cryptography (PQC: post-quantum cryptography).     CryptoNext offers its leading C-QSR Quantum Safe Remediation software suite including its world reference library Quantum Safe Library (C-QSL) with the latest updates of US NIST standard and EU recommended PQC algorithms optimized implementation and extended security modules as well as a full set of upper-layer crypto-agile, full PQC hybridization-ready integration tools, application plugins, and management modules, for end-user enterprises and integrators, to help them in their migration and operations in the era of post-quantum cybersecurity.	Cybersecurity/Defense	France	0	France
CRYSTALCHAIN	"Saas blockchain traceability platform that enables stakeholders in a value chain to measure, share data (raw material origin, certificates, quality & CSR info, laws, biochar projects, carbon certficates) thus providing transparency to partners & consumers. 

We are experts in traceability in supply chain for more than 8 years working with various large companies and collecting data to help them in their net zero strategy.

As part of this net zero strategy, the qualified data collected by our platform helps your company to adopt an less impact strategy or to comply with laws (CSRD, deforestation...)

An other part of this net zero strategy, we bring our expertise to the carbon removal market to bring transparency in the issuance of carbon credits. 
Indeed, we are the only dMRV software that calculates in real time the number of carbon credits issued for carbon removal projects."	Information technologies	France	13	France
CSEM SA	CSEM is a Swiss technology innovation center that enables competitiveness through innovation by developing and transferring world-class technologies for the industrial sector. We aim to boost the economy by advancing personalized health and sports technologies through sensors, wearables, IoMT, data science, and clinical assessment. Our solutions, from innovative wearables to medical integration and data algorithms, aim to improve athlete and patient well-being.	Other	Switzerland	180	Hors France
csky.ai	csky.ai solves the dilemma between AI automation and privacy/security for companies and institutions that require the highest level of confidentiality. We deploy state-of-the-art AI solutions on local smart devices to transform sensitive conversations into structured, secure and compliant reports, even offline.	Information technologies	Switzerland	6	Hors France
CultTech Association	"CultTech Association is a European non-profit that believes technology is key to making culture central to human growth in a post-material world. Our mission is to build a platform for a global CultTech community and to create a new ecosystem by establishing a mutually profitable relationship between culture and technology. We support and run initiatives that explore the transformative power of technology in the cultural and creative industries in an attempt to steer change for the greater good. 

Our scope of work includes supporting creation, fostering knowledge and investing into startups. We partner with leading cultural institutions like Ars Electronica or Salzburg Festival to explore key questions like AI in Arts. Our ecosystem comprise New Renaissance Ventures, an early stage fund backing the next generation of cultural and creative leaders, and CultTech Accelerator that brings together expertise and networks from across the startup, tech, culture and art scenes."	Media/Entertainment/Culture	Austria	719	Hors France
CULTURADVISOR	"CulturAdvisor is a platform designed for the commercialization and communication of cultural offers, targeting both cultural venues and consumers. The latter can be divided into two categories: families and professionals (schools, companies, associations). CulturAdvisor aims to enhance the visibility of cultural venues, increase their attendance, and develop new audiences.
To achieve this, the platform implements a marketing strategy tailored to the targeted audiences, with particular emphasis on content quality, personalized communication, and user engagement. CulturAdvisor aims to become a cultural assistant by sequencing the journey of audiences into four stages: attract, convert, conclude, and delight.
The platform also broadens its definition of culture at each stage, including not only traditional arts but also heritage, digital culture, sports including e-sports."	Media/Entertainment/Culture	France	272	France
Culture pieces	IP content comprehensive operation service company, Business scope includes cultural IP operation and video account operation The five major fields of visual design, cultural and creative product customization, and exhibition activities, Proficient in industry analysis, content planning, creative exploration, work creation, brand promotion, and product design Production and operation service capabilities. The team has professional planning, design, and development capabilities, and integrates supply chain resources Ability, rich brand marketing experience and media promotion ability, as well as comprehensive sales channels covering both online and offline.	Media/Entertainment/Culture	China	508	Hors France
Culturius	"Culturius wants you to enjoy the culture in the best possible way and that's why wea re developing a serie of useful features, as: a portal to consult, distribute and promote cultural offers, an online magazine dedicated to culture with editorial and audiovisual content.
it's the biggest cultural marketplace in Europe, with a catalogue of 400 000 cultural events."	Media/Entertainment/Culture	Belgium	0	Hors France
Cuoncrop	"cuoncrop is a Tokyo-based agri-tech company specializing in innovative solutions for the food and agricultural sector.
Our company has been recognized for:
_JA Accelerator Program Award
_Best Startup for a Sustainable Society at the CCI France Japon Business Leaders Forum 2022 Tech4Good Event
_Toyohashi Agri-tech Contest

At cuoncrop, we operate ""My Eco Monosashi,"" a service for corporate clients that efficiently measures and quantifies products along the food and agriculture value chain. 
This system enables measurement using indicators related to decarbonization, biodiversity preservation, nutritional enhancement, and more.

For consumers, we offer the ""My Eco Monosashi"" app, empowering users to make sustainable choices in their daily meals and contribute to environmental causes."	Food	Japan	211	Hors France
CURE51	The first worldwide clinical and molecular database of exceptional survivors leading the path to new therapies against cancer.	Health	France	114	France
CureCurve Medical AI	CureCurve is a deep tech startup focused on revolutionising the medical landscape through the development of therapy applications and AI. Our unique approach is to utilise the data generated by our applications to train our AI models. Our backbone is rooted in research, not just development, which allows us to continuously improve the effectiveness and personalisation of our therapeutic solutions. Our ultimate goal is to revolutionise the way healthcare is delivered by combining cutting-edge technology with evidence-based research.	Health	Germany	135	Hors France
CustomsBridge	CustomsBridge, a SaaS startup at the forefront of international trade, revolutionizes the handling of customs formalities by transforming the complexities and challenges of customs into opportunities for differentiation and growth. By focusing on the critical intersection of regulations and global trade processes, we enable smoother and more compliant international transactions. Our platform is specifically designed to empower freight forwarders, as well as importers and exporters, facilitating a seamless flow of goods across borders. By simplifying compliance and turning customs hurdles into strategic advantages, CustomsBridge champions more efficient, conforming, and opportunity-rich international trade.	Information technologies	France	0	France
cvnavi ______	"Cvnavi is a system solution company in the commercial vehicle industry; the company's core team has a wealth of experience in automotive electronics and commercial vehicle Telematics, and the team has developed the ministry standard vehicle terminal, the new national standard recorder and the ministry standard Telematics platform, which were the first to pass the national certification. Adhering to the principle of ""follow the trend, navigate the future"", Sihang Network attaches importance to the construction of R&D team, cooperates with famous schools and enterprises in the development of automotive networking software and hardware technology, undertakes the government's constructive project research and development, and participates in the formulation of standards for the automotive electronics industry. We strictly abide by ISO/IATF16949:2016 management system. It is a high-tech enterprise, double-soft enterprise, Shanghai science and technology small giant enterprise, etc."	Industry	China	938	Hors France
CWS Platform	"CWS Platform is a commerce platform (SaaS) integrated with AI for enterprise companies to digitize 100% of their total sales, resulting in a boost of sales and commercial efficiency.

The platform enables full digitalization by allowing client and salesperson interactions through a single, unified digital commerce solution.

The platform is flexible enough to meet all the requirements necessary for both B2B and B2C projects, including multi-pricing, multi-payment systems, and third-party selling via cross-docking and dropshipping, etc.

CWS is a flexible and robust solution that can be adapted to project requirements, from a Digital Catalogue to full digitization of client and salesperson interactions (Shopper).

The platform was built entirely with the most advanced technology available on the market worldwide, including AWS Cloud, 100% Open API, microservice-based architecture, scalable infrastructure with Docker, Kubernetes, and Elastic Search."	Software Development/Cloud services	Brazil	60	Hors France
CYBELETECH		Other	France	0	France
CYBERSHEN	"We provide an advanced and AI based but simple to use cybersecurity solution, an Eternal Protection, in order to protect everyone by securing devices, data, networks, Internet apps and access. 
Be prepared to face Cyber Threats with our plug-and-play Modern Workplace Protection Platform. 
Cybershen has a Zero-Expertise and Zero-trust approach to put Modern Workplace cybersecurity on Auto-pilot. The security designed for the future of work for any business user, any location, any device without being an expert.
Automation, AI, advanced cyber technology is what makes Cybershen very unique.
#NIS2 #DORA #SME #ThirdParties #Sovereignty #AI #CYBER"	Cybersecurity/Defense	France	28	France
CYBERTEC SERVICES S.R.L./COMPUTARTE	"Cybertec Services Srl based in Roma projects, engineers and manufactures LOYAL TECHNOLOGY©: ornamental home server with PRIVATE AI© to offer smart digital assistant developed on principles of Privacy by design and Privacy by default, security and customization tailored on the customer.
Our goal it's  to keep home a place where PRIVACY it's respected, protected and defended.
We offer a interface with voice and gesture commands EXCLUSIVELY decoded on premises: PRIVACY FIRST. 
Domains covered: home automation (B2C), e-health loyal platform (B2B), loyal commercial platform (B2B), Data monetization solutions (B2all)
We have an international patent portfolio for ornamental models and an innovative cooling system for electronic components. https://www.computarte.it 
Furthermore Mood06© Arredo e Arte by ComptArte® it's a spin-off project where design meets shape,light and sound.
We propose furnishing accessories, lights, loudspeakers and unique Art pieces in ceramics https://www.Mood06.com"	Smart City/Building	Italy	129	Hors France
Cybertron Tech GmbH ________	"Cybertron Tech GmbH, founded in 2018 in Zurich, is committed to creating large computing power AI NPU chip with high energy and area efficiency, together with advanced high-speed interconnection IC technology. It is a global leader in the field of CIM (Compute-in-memory) architecture based AI NPU chip and has received hundreds of millions in investment and funding from EU and Chinese government.

Our team has nearly 60 employees, including 7 young scientists and more than 70% of the IC R&D team . Their average work experience about 10~25 years in the filed of high-performance IC designs, advanced computing architecture and deep learning algorithm."	Industry	China	96	Hors France
Cynteract GmbH	"More than 80% of the world's population lacks access to an adequate number of physiotherapists. 
Cynteract developed, certified and mass-manufactured three technologies, which allow patients to do their rehabilitation from a distance - No travel, less costs and a rehabilitation for everyone. The team is distributing to over 10 countries with successful clinical trials. 

There’s more, RefresherBoxx and Autak, as well RWTH Aachen University startups, disrupting with a water free & chemical free washing machine and a stairclimbing wheelchair.

We're looking forward to enter the French market with your support! Therefore we are searching for disruptive distributors in the medical, cleaning or Hightech market."	Health	Germany	524	Hors France
CypherLab		Information technologies	France	0	France
Cypien AI	Cypien AI is an artificial intelligence company that produces customised Generative AI technologies using on-premise models or cloud technologies. Cypien AI focuses on content generation in the field of generative artificial intelligence, analysing existing data, recreating content based on specific historical data and developing brand-specific visual content. Using basic infrastructure models, it develops its own GenAI models with the data it has. This approach enables brands and organisations to create the specific content they need by providing tailored, data-driven solutions. Cypien AI allows brands and organisations to develop their own GenAI models using their proprietary data based on broad infrastructure models, enabling brands to reach their target audiences with the right content and at the right time through content generation, data analysis, re-creation of content based on historical data and the creation of customised visual content.	Information technologies	Turkey	8	Hors France
D-Shape Limited	"D-Shape is an innovative enterprise at the forefront of large-scale 3D printing with a specialised focus on cementitious materials. Their groundbreaking technology enables the creation of robust, intricate structures for ecological enhancement and infrastructure protection. 
In the marine sector, D-Shape's technology has been instrumental in fostering marine life. By printing artificial reefs with complex geometries that mimic natural habitats, the company contributes to biodiversity and fisheries restoration. These 3D-printed reefs provide new ecosystems for marine organisms and serve as breakwaters, mitigating coastal erosion and damage from storms."	Smart City/Building	Hong Kong	0	Hors France
DABIDA Corp.	Video Platform 'GENICLASS' and Smart Pen 'GENIPEN' offer a comprehensive solution tailored for the construction industry. GENIPEN, a ruggedized smart pen and tablet duo, empowers workers to digitize large-format plans with ease, even in harsh conditions. Its intuitive interface simplifies annotation and real-time collaboration, facilitating seamless communication between on-site teams and headquarters. With offline functionality, workers can access and update plans anywhere, ensuring uninterrupted workflow. GENICLASS platform complements GENIPEN, providing a centralized hub for project management and document storage. Together, they streamline construction processes, enhance productivity, and improve project outcomes.	Smart City/Building	South Korea	84	Hors France
DAIDALA	"We have two main objectives: developing a horror game and also bringing innovation to the way we play. We want to integrate the use of the phone in the game to implement new mechanics and help with the immersion of the game, which is a critical point, especially in horror games where emotions are a major factor.

The mythical labyrinth of Daedalus in ancient Greece was chosen as the theme of the game. We will have to discover the history of that place, which goes back thousands of years, and maybe finally understand what happened to Icarus. But what will be the cost for the answers to so many questions? Sacrifices, sanity, and maybe even lives themselves..."	Media/Entertainment/Culture	France	14	France
Daily Deal		Health	Algeria	0	Hors France
Dailymotion Pro	"With 19 years of experience in the video industry and over 3000 video clients, Dailymotion Pro provides a comprehensive video platform that includes video player technology, hosting, delivery, encoding, and analytics—all integrated into one seamless service. We offer more than just technology; we provide expertise and managed services that guide e-commerce clients to fully leverage video content to maximize sales. As a leading partner for e-commerce businesses, Dailymotion Pro is dedicated to helping you succeed in the digital era."	Media/Entertainment/Culture	France	81	France
Dartfish	"Dartfish is a Swiss computer software company based in Fribourg, Switzerland providing video-based solutions to support performance analysis across industries such as sports, education, and healthcare.

Dartfish provides a wide range of products in video analysis like performance analysis software, mobile apps, an online video platform, computer vision and broadcasting tools."	Software Development/Cloud services	Switzerland	0	Hors France
Data Driven	"Measure the candidate journey from the initial reading of a job posting to the hiring.

Data Driven provides a SaaS solution tailored for HR departments. 
Its goal is to provide recruiters with an optimal insight into the effectiveness of the strategies implemented to attract talents. 

To achieve this, Data Driven utilizes technology that connects to all candidate touchpoints to extract rich and actionable data.

The Data Driven dashboard then provides performance indicators for all acquisition channels used to determine their relevance and effectiveness: exposure to desired candidate targets, job posting views, number of received resumes, conversion rates, interviews conducted, hires made, and their associated costs.

In the HR marketing era, Data Driven positions itself as an HR data observatory aiming to influence decision-making within the recruitment ecosystem."	HR/Training/Education	France	127	France
Data farms	We help people grow food.  At Data Farms, we use sensors to collect environmental, soil, water and crop health data.  We use this data to help farmers make informed decisions about nutrient and water management.  This helps them save costs, and reduce their farm's environmental impact by reducing runoff and waste of chemical inputs.	Food	Canada	0	Hors France
Data First Solutions	"Welcome to Datafirst Solutions, where we transform raw data into actionable insights. Our passionate team of data experts helps businesses make informed decisions and enhance customer experiences.

We assist businesses by analyzing vast amounts of data to uncover trends and customer behaviors, enabling timely and accurate decision-making. In the food and beverage industry, for instance, our analytics optimize inventory and marketing strategies, improving efficiency and customer satisfaction.

We focus on enhancing customer experiences by personalizing services and refining user interfaces based on customer feedback. Our commitment to continuous learning ensures we provide innovative, cutting-edge solutions.

Every project is customized to meet our clients' unique needs, fostering effective collaboration and tailored solutions. We prioritize data privacy and security, adhering to the highest standards."	Information technologies	United Arab Emirates	821	Hors France
Data for Ethic	"DATA FOR ETHIC is a software editor that uses AI-based technologies for the greater good. We develop software solutions to combat bullying, 
harassment, and distress in educational settings and in the workplace. Our software solutions rely on advanced Data Science technologies and are backed up by advanced research in the fields of technology and linguistics.
 
NETETHIC EDUCATION, our B2G solution, provides schools and educational institutions with an all-in-one platform to prevent and manage bullying situations arising both at school and online. It provides training modules as well as real-time statistics and visual information on bullying risks and students' mental health.
 
DIGITALETHIQUE, our B2B solution, provides companies and corporations with tailored survey and detection tools to assess employees' professional wellbeing, maintain high Quality of Working Life (QWL) standards, and avoid Psycho-Social Risks (PSR) in the workplace."	HR/Training/Education	France	47	France
Data Green by Netsooon.AI	"Our unique technology, with 3 patents, sets our data centers apart:

.Green Technology: Reducing CO2 emissions by up to 82% and utilizing up to 98% of residual heat. We prioritize renewable energy sources like solar and wind power.
.Space Optimization: Our decentralized data centers reduce space requirements by 20 to 90%.
.Climate Control: Innovative cooling systems eliminate the need for energy-intensive air conditioning.
.Existing Center Refurbishment: Transform your current infrastructure into sustainable assets with our expert refurbishment services.
.Affordable Green Cloud Services: Enjoy the benefits of environmentally-friendly cloud services at competitive rates.
.AI Expertise: Our AI expertise enhances client performance by integrating machine learning capabilities into our data centers.
.Security Guarantee: We ensure data security and sovereignty.

As a company specializing in impactful AI and Deep Tech, we've taken proactive steps to mitigate our environmental footprint, insp"	Software Development/Cloud services	France	410	France
Data Monsters	Yoit’s Discovery AI revolutionizes e-commerce with multimodal search, translating visuals into words and combining text and images, making previously unsearchable items searchable. Our intelligent chatbot acts as a virtual shop manager, understanding complex intents provided in natural language and offering personalized recommendations based on information such as weather, occasions, and personal style. Join us in transforming the future of online retail.	Consumer goods/Retail/E-commerce	South Korea	18	Hors France
Data protect	"+ Over 90% of the world's data has been generated in the last 2 years alone, 
and there's no end in sight. 

In a cybersecurity context, this is a real headache for companies in terms of risk management and confidentiality. 

Even if the authorities have been proposing appropriate and necessary regulations for several years now, they remain numerous and complex to apply, ""without any accompanying tools"". 

That's why I created Actadata, 

My aim was to develop a tailor-made, practical and effective solution; 
to manage ""each new obligation"". 

Designed to be modular and capable of meeting everyone's needs. 

1st tool on the market, offering in a single space : 
- precise mapping of risk data, 
- a scalable knowledge base, 
- a tool for steering and monitoring business processes 

+ More than 350 operational modules already implemented. 

The promise of a real impact in terms of time and efficiency, so you can move forward with confidence and serenity."	Cybersecurity/Defense	France	340	France
DataBeez	Founded in mid-2021, Databeez SAS is the first pan-African Ed-Tech specialized in Data & AI. It offers bootcamp and à la carte training courses, integrating an LMS and Big Data platform. With Analytics as a Service, it fills the global shortage of experts by providing qualified profiles. Present in Senegal and France via Databeez Europe.	HR/Training/Education	Senegal	90	Hors France
DataGalaxy	"DataGalaxy is the industry’s first Data Knowledge Catalog delivering data culture and literacy across organizations globally. As an established leader in Europe and operating worldwide, DataGalaxy offers a user-centric platform dedicated to metadata mapping, active metadata management, and metadata knowledge sharing.

Trusted by 150+ leading brands including Dior, Airbus, and TotalEnergies, DataGalaxy's innovative approach to data governance and cataloging empowers everyone in the company to manage their data knowledge, enhance decision-making, and unlock valuable insights for driving business growth."	Software Development/Cloud services	France	368	France
Dataiku		Software Development/Cloud services	France	0	France
Dataiku	"Dataiku is the platform for Everyday AI, enabling data experts and domain experts to work together to build data into their daily operations, from advanced analytics to Generative AI.  Together, they design, develop and deploy new AI capabilities, at all scales and in all industries. Organizations that use Dataiku enable their people to be extraordinary, creating the AI that will power their company into the future. 

Founded in 2013, Dataiku has proven its ability to continue to develop its founding vision for Everyday AI, and to execute on its growth."	Software Development/Cloud services	France	4	France
Datapred	"Datapred is a B2B software company. 

Our AI engine helps asset managers and buyers of commodities and energy to test and optimize their investment and hedging strategies, in particular by suggesting optimal transactions in terms of timing, explainability, and compliance with constraints linked to risk management, ESG criteria, governance or regulation."	Software Development/Cloud services	France	43	France
Datategy	"Datategy is an innovative French scale-up that has specialized in helping businesses deploy artificial intelligence projects since 2016. 

Thanks to its expertise and advanced technology, Datategy is helping to democratize AI by simplifying the process, enabling organizations to reap the full benefits of this technology.

Our solutions:
papAI solution offers a holistic approach to artificial intelligence, with a particular focus on data engineering, MLOps practices, and model portability. 

In terms of data engineering, papAI simplifies the management of data flows, from ingestion to transformation, making it easier to prepare data for AI models. In addition, our platform incorporates advanced MLOps practices, guaranteeing efficient deployment and continuous monitoring of models, with proactive monitoring to ensure optimal performance.

When it comes to model portability, papAI adopts an open approach, allowing users to deploy their models in various cloud or on-premise environment."	Software Development/Cloud services	France	224	France
DAVI	DAVI AI provides Digital Employees with professional, behavioral, social, and emotional skills. Upgrade your LLMs with the most advanced European technology for generating Digital Employees to transform them into comprehensive collaborators, immediately available to enhance your productivity.	Software Development/Cloud services	France	6	France
Dawex	Dawex is the leader in Data Exchange solutions to distribute or share data products, with trust, for any business case, in compliance with data regulations. With Dawex Data Exchange technology, organizations create data ecosystems and data spaces such as Corporate Data Hubs, Industry Data Hubs & Data Marketplaces to address economic, environmental & decarbonation challenges. Dawex enables economic stakeholders to develop and value the potential of their ecosystem through data exchange. Relying on its technology, business and regulatory expertise, Dawex provides organizations in 20+ industry sectors with the best-in-class data exchange solutions to build and govern data ecosystems, implement any business cases, establish trust between data providers & data acquirers, and facilitate data transactions. Awarded Tech Pioneer by the World Economic Forum & Data Expert to the UN Environment Program, Dawex is the initiator of an international standardization program on Trusted Data Transaction.	Information technologies	France	0	France
Daylindo	"Western economies face a critical skills gap. Existing training solutions focus on knowledge acquisition and not on practical skills. Skills are mostly acquired though work-based experience, which remains largely unstructured and not deployed at scale.7
Daylindo is a SAAS Solution to solve transfer of know how and skills gaps. We value skills acquired through work experience and thus we boost learners’s employability by tracking experience-based skills development.
We bring together a proven approach and a cloud platform designed to organize, deploy and track on-the-job training at scale.__
We enable large organizations, training and dual educational providers to successfully roll-out their learning initiatives._"	HR/Training/Education	France	58	France
de:hub digital ecosystems	"We are the Digital Hub Initiative, originated by the German Federal Ministry for Economic Affairs and Climate Action. We are creating partnerships by connecting SMEs and corporations with the newest innovators from the science and start-up scene. 
Twelve digital Hubs provide a strong network that stimulates innovation by promoting the exchange of expertise in technology and business.
This year, we are accompanied by 34 startups from various tech sectors ranging from health tech, to AI and digital logistics. 
Besides our start-ups our digital hubs from Frankfurt (Fintech & Cybersecurity), Berlin (IoT), Potsdam (MediaTech), Karlsruhe (AI), Nuremberg (Digital Health) and Leipzig (Smart Infrastructure) will join us as well."	Government/Public institutions	Germany	94	Hors France
Dealt	"Home services solution for retailers.

With Dealt we allow brands to offer all the home services their customers need: Delivery, assembly, installation, configuration,, maintenance, repair... of products purchased in store or e-commerce.

Our job is to build, implement and manage retailers' home service offerings, all under a white label.

The objective ?
Allow brands to better support their customers, develop new revenues and stand out from the competition !

Dealt provides retailers & e-merchants with a complete omnichannel solution including:
- A catalog of +350 home services 
- A national community of +10,000 certified professionals (self-employed, artisans, local companies)
- Technological tools to integrate their service offering into their online and offline purchasing journey : services platform, API, SaaS application...

The biggest French retailers trust Dealt today such as : Orange, Boulanger, E.Leclerc, Mr.Bricolage, Jardiland, Decathlon, Conforama, Fnac-Darty..."	Consumer goods/Retail/E-commerce	France	31	France
Deardot	"With our award-winning zero-plastic, zero-waste, 100% eco-friendly technology, our mission is to develop plastic-free clean beauty solutions, providing our kids with a cleaner environment.

Our waterless clean beauty solution is plastic-free and leaves no pollutant residue. Unlike other cosmetics, our solution is light-weight(low carbon emission), individually packageable, and convenient to use.

Deardot provides ODM services for our innovative waterless solutions (formulation, packaging) to cosmetic companies and any other interested industry players."	Luxury/Fashion/Beauty	South Korea	0	Hors France
DeclareDouane		Government/Public institutions	France	0	France
Deep Life	DeepLife is learning the language of life. Using cutting edge AI technologies, we explore each cell intricate inner mechanisms to cure disease one cell at the time.	Health	France	63	France
DEEP.FINE	Our service integrates the physical and digital, creating immersive experiences that were once the realm of imagination. From enhancing education to revolutionizing design and entertainment, DEEP.FINE is paving the way for limitless exploration.	Software Development/Cloud services	South Korea	183	Hors France
DeepHawk	"DeepHawk is a visual quality control solution built on AI that analyzes product images live on the production line, detecting defects as small as a single pixel in just 15 milliseconds. It learns significantly faster than traditional AI systems (30 minutes vs. 3 weeks) and offers exceptional flexibility. DeepHawk can handle any type of product, camera (including multi-view, still and video images, visible spectrum, X-ray, infrared, and microscopic), and deploys entirely on-premise, eliminating the need for an external connection. As a ""frugal"" AI, DeepHawk uses minimal computing resources, reducing its carbon footprint by a whopping 375x. Founded in 2022 and launched in 2023, DeepHawk is already deployed in two factories of a major car manufacturer and is currently undergoing testing with ten additional clients."	Industry	France	56	France
DeepHawk	"DeepHawk is a visual quality control solution built on AI that analyzes product images live on the production line, detecting defects as small as a single pixel in just 15 milliseconds. It learns significantly faster than traditional AI systems (30 minutes vs. 3 weeks) and offers exceptional flexibility. DeepHawk can handle any type of product, camera (including multi-view, still and video images, visible spectrum, X-ray, infrared, and microscopic), and deploys entirely on-premise, eliminating the need for an external connection. As a ""frugal"" AI, DeepHawk uses minimal computing resources, reducing its carbon footprint by a whopping 375x. Founded in 2022 and launched in 2023, DeepHawk is already deployed in two factories of a major car manufacturer and is currently undergoing testing with ten additional clients."	Industry	France	56	France
Deepixel	"Deepixel is a leading deep-tech startup applying visual intelligence to enhance the online shopping experience. We leverage cutting-edge computer vision and machine learning to create StyleAR, a virtual try-on and fitting solution for jewelry, beauty, and fashion industries. StyleAR empowers customers with the ability to virtually try on jewerly, accessories and fashion items using their smartphone cameras, eliminating the hassle of returns and ensuring confident purchases. Deepixel goes beyond technology; we strive to create a more intuitive and convenient digital shopping experience, transforming the way you interact with customers."	Luxury/Fashion/Beauty	South Korea	0	Hors France
Deepomatic	"Deepomatic is a pioneer in the field of First Time Right Automation. Our AI-based computer vision platform is designed for companies operating critical infrastructures who strive to apply their quality standard at scale and increase the First Time Right rate of their operations.
By analyzing photos taken by field workers and providing them instant feedback on the conformity of their job, our platform automates quality control. It guarantees the conformity of the data documenting daily field jobs and allows to follow the state of the infrastructure over time to make informed decisions to operate and maintain it.
Deepomatic serves leading international clients in sectors such as telecommunications, energy, hospitality and mobility. Nearly 20,000 field workers employed by Swisscom, CityFibre, Telefonica, Circet, and Unit-T use Deepomatic's solution every day, highly improving their productivity and efficiency on site. Our platform analyzes close to 1 million operations every month."	Software Development/Cloud services	France	74	France
